"Meslek","Şehir","Nitelikler"
"Yazılım Mühendisi","Ankara","GENEL NİTELİKLER VE İŞ TANIMI  BİTES HAKKINDA   2001 yılında kurulan ve 2019 yılından itibaren ASELSAN iştiraki olan BİTES Savunma ve Havacılık, 200'ü aşkın uzman kadrosu ile milli ve yüksek teknoloji odaklı bir savunma sanayi şirketi olarak ülkemize hizmet etmektedir.   BİTES, artırılmış gerçeklik, yapay zeka, derin öğrenme, görüntü ve sinyal işleme gibi teknoloji alanlarında yurtiçi ve yurtdışı ar-ge çalışmaları yürütmektedir.   BİTES, çalışmalarını Ankara Eskişehir Yolu üzerindeki ODTÜ Bilişim ve İnovasyon Merkezi’nde sürdürmektedir. Ayrıca eğitim ve simülasyon teknolojileri, komuta kontrol ve bilgi sistemleri faaliyet alanında askeri sistemler için çözümler sağlamaktadır.   İnovatif fikirlere değer verilen ve sürekli gelişime açık yapıya sahip olan şirketimizde;   Savunma Projeleri kapsamında görevlendirmek üzere‘Yazılım Mühendisi’ çalışma arkadaşları aramaktayız.      NİTELİKLER  Üniversitelerin Bilgisayar Mühendisliği veya Elektronik Mühendisliği bölümlerinden mezun,  C, C++ ve benzeri programlama dillerinde deneyimli, Veri yapılarına (Data Structures) hakim, 2 ile +10 yıl arası yazılım geliştirme tecrübesine sahip, Savunma sektörüne ilgi duyan, Kişi Güvenlik Belgesi almaya engel bir durumu olmayan,  İleri düzeyde İngilizce bilen,  Seyahat engeli bulunmayan (Görevlere katılım sağlaması gerekecektir)  TERCİH EDİLECEK ÖZELLİKLER  Temel seviye MATLAB bilgisine sahip, Gerçek zamanlı yazılım geliştirmeye yatkın olan, Multitasking konularına yatkın olan, DDS kullanım deneyimi olan, Rhapsody kullanım deneyimi olan, Yazılım kalıplarına hakim olan (Software Patterns: Factory, singleton, observer, MVC, vb…)  Ek olarak adaylardan aşağıdaki alanlardan en az birisinde yazılım geliştirme deneyimine sahip olması beklenmektedir.  Komuta Kontrol Hava Savunma Atış Kontrol Modelleme ve Simülasyon  İŞ TANIMI   Yazılım geliştirme sürecinin, gereksinim analizi, tasarım ve geliştirme aşamalarına aktif katılım sağlanması, Proje gereksinimlerinin karşılayacak yazılım mimarisi, bileşen ve çözümün oluşturulmasının sağlanması,  Yazılım dokümanlarının (SRD, SDD) oluşturulması beklenmektedir."
"Simülasyon Yazılım Mühendisi","Ankara","GENEL NİTELİKLER VE İŞ TANIMI  BİTES HAKKINDA   2001 yılında kurulan ve 2019 yılından itibaren ASELSAN iştiraki olan BİTES Savunma ve Havacılık, 150 kişilik uzman kadrosu ile milli ve yüksek teknoloji odaklı bir savunma sanayi şirketi olarak ülkemize hizmet etmektedir.  BİTES, artırılmış gerçeklik, yapay zeka, derin öğrenme, görüntü ve sinyal işleme gibi teknoloji alanlarında yurtiçi ve yurtdışı ar-ge çalışmaları yürütmektedir. BİTES, çalışmalarını Ankara Eskişehir Yolu üzerindeki ODTÜ Bilişim ve İnovasyon Merkezi’nde sürdürmektedir. Ayrıca eğitim ve simülasyon teknolojileri, komuta kontrol ve bilgi sistemleri faaliyet alanında askeri sistemler için çözümler sağlamaktadır.  İnovatif fikirlere değer verilen ve sürekli gelişime açık yapıya sahip olan şirketimizde,  Savunma Sanayine yönelik projelerimizde görevlendirmek üzere aşağıdaki niteliklerde‘Simülasyon Yazılım Mühendisi’çalışma arkadaşı aramaktayız.     NİTELİKLER  Üniversitelerin Bilgisayar Mühendisliği, Elektrik-Elektronik Mühendisliği veya ilgili bölümlerinden mezun, C / C++ / C# Programlama Dillerinde deneyimli, Yazılım Geliştirme Süreçleri ile ilgili bilgi ve deneyim sahibi, Kişi Güvenlik Belgesi almaya engel bir durumu olmayan, İleri düzeyde İngilizce bilen, Seyahat engeli bulunmayan,     TERCİHEN  OpenGL, HMI, Grafik Kullanıcı Arayüzü tasarımı konularında bilgi sahibi, Modelleme ve Simülasyon alanında yazılım geliştirme deneyimi olan, MATLAB / Simulink araçlarını kullanabilen, Simülasyon ortamı mimarileri HLA, DIS konularında bilgi sahibi,     İŞ TANIMI  Görevlendirildiği projede Yazılım Geliştirme sürecinin tüm aşamalarına katkı sağlanması, Yeni Teknolojilerin takibi, araştırılması ve konsept uygulama geliştirilmesi görev tanımında yer alacaktır. "
".Net Developer","İstanbul(Avr.)(Avcılar)","GENEL NİTELİKLER VE İŞ TANIMI  Genel Özellikler   Kurumsal uygulamalar geliştirme konusunda 3 yıl deneyimli ve referans olarak en az 2 proje gösterebilecek,  Proje ihtiyaçlarına uygun yazılım mimarisini oluşturabilecek ve sorumluluk üstlenebilecek,  Projedeki modüllerin geliştirmesi ya da sorunların çözümü ile ilgili olarak gerçekçi süreler belirleyebilecek ve  bunlara uyabilecek, Analitik yönü güçlü,  Detay odaklı çalışabilen,  Çalışan uygulamaların sürekliliğini ve desteğini sağlayacak,  Teknik literatürü takip edebilecek seviyede İngilizce bilgisi olan,     Teknik Nitelikler  .NET Teknolojilerinde  3-4 yıl deneyim. ( C# , .NET Framework , .NET Core  )  MS SQL Server ve  veritabanı tasarımı konusunda tecrübe sahibi  HTML5, CSS (+Bootstrap) ve Javascript konularında bilgi sahibi  RestFul Web Servisler geliştirme konusunda tecrübeli (WebApi)   Nesne yönelimli programlama ve tasarım konusunda deneyimli  MS SQL Server, Reporting Services ve T-SQL bilgisine sahip Versiyon kontrol sistemlerinin en az birinde çalışmış (GIT,GitLab,TFS,SVN vb.)     Tercih Sebebi Nitelikler  Üniversitelerin Bilgisayar Mühendisliği, Matematik Mühendisliği ve benzeri bölümlerinden mezun ERP, HR, BPM veya CRM projelerinde yer almış  Windows Server, IIS, DNS, Active Directory yapılarına hakim   Avrupa yakasında ikamet eden "
"İş Analizi Kıdemli Uzmanı","İstanbul(Asya)","GENEL NİTELİKLER VE İŞ TANIMI     Türkiye’nin dört bir yanına ve dünyanın 227 ülkesine ‘önem’ taşıyan Aras Kargo, 41 yıldır müşterilerine, paydaşlarına ve ülke ekonomisine katma değer sağlamak için çalışıyor. Mutluluğa adanmış gücüyle ve hizmetleriyle fark yaratan Aras Kargo, teknoloji ve güçlü insan kaynağını birleştiren yenilikçi iş modeliyle, sektöründe ilk tercih edilen marka olmak için çalışmalarını sürdürüyor. Kargo sektörünün lideri Aras Kargo bugün, müşteri memnuniyeti odaklı 13 Bölge Müdürlüğü, 29 Transfer Merkezi, 900 şube, 4000'den fazla araç filosu ve 14000 kişilik uzman kadrosuyla; her ay 12 milyon kişi, kurum ve kuruluşa hizmet veriyor.       Sen de bu geniş aileye katılmak istiyorsan, Genel Müdürlük İş Analizi Kıdemli Uzmanı pozisyonunda görev alacak çalışma arkadaşı arıyoruz.    Üniversitelerin Bilgisayar Mühendisliği veya Endüstri Mühendisliği bölümlerinden mezun, İş analizi, iş süreçleri dokümantasyonu, süreç analizi, test ve kabul senaryoları hazırlama ve test etme konularında minimum 5 yıl tecrübeli, Süreç analizi, gereksinim belirleme, analiz dökümantasyonu hazirlama ve test senaryoları hazırlama konularında deneyim sahibi, İyi Derecede İngilizce bilen, SQL hakkında bilgi sahibi, Tercihen önyüz tasarımı, kullanılabilirlik kavramları hakkında bilgi sahibi,       İŞ TANIMI  Müşteri talepleri doğrultusunda gereksinimleri belirleyerek, talebin uygulamaya alınması için yazılım ekipleri ile koordinasyonu sağlanması, Sistem Entegrasyonu projelerine destek verilmesi, Mevcut modüllerle entegrasyonu göz önüne alarak, en uygun uygulama ve ekran tasarımını konusunda destek sağlanması, Fonksiyonel tasarım dokümanı hazırlanması ve geliştirilmesi tamamlanan yazılımların uygulamaya alınması süreçlerinin yönetiminin sağlanması.     "
"Sistem Destek Şefi","İstanbul(Asya)","GENEL NİTELİKLER VE İŞ TANIMI Üniversitelerin, Bilgisayar Mühendisliği veya Elektronik Mühendisliği bölümlerinden Lisans ya da Yüksek Lisans mezun, Bilişim sektöründe en az 10 yıl deneyimli, Microsoft server/client ürünleri, Network altyapı, TCP/IP, Sanallaştırma, Mail server, Yedekleme, Arşivleme,Çıktı sistemleri  kurulum ve desteği,Giriş çıkış kontrol sistemleri gibi Teknik konularında tecrübeli Raporlama, İletişim (telefon, data) sistemleri vb çalışma konularında yoğunlaşmış, Analitik düşünebilme, değişim ve gelişime açık olma, muhakeme, Proje geliştirebilme ve uygulayabilme, Stres yönetimi, yoğun tempoda çalışabilme Ekip yönetebilme İyi düzey İngilizce Askerlikle ilişiği bulunmayan (Erkek adaylar için) İstanbul Anadolu yakası veya Gebze ve civarında ikamet eden ve edebilecek olan adaylar.     iş Tanımı :   Gemak Şirketler Grubu bünyesinde, tüm şubelerinde bulunan IT altyapısı dahilinde ;  Gemak Grubun Bilgi Sistemleri server ve altyapılarının 7/24 esaslı çalışmasını sağlamak, Gelişen teknolojilere ihtiyaçlar doğrultusunda takip edip ayak uydurmak, Bilgi sistemlerinin devamlı gelişmesi için hem bölümü, hem de işletmeyi güncel tutmak İç ve dış müşterilerin ihtiyaçlarını işletme ve Türkiye şartlarına göre mukayese edip yapılması gerekenleri, ekip ile birlikte yapmak, Vmware sanallaştırma, Active Directory, Exchange server, yedekleme, arşivleme, Windows Serverlar (RDP), iç ve dış müşterilere destek, kullanıcı yetkilendirme, tersane güvenlik sistemleri destek ( Kamera sistemi, giriş çıkış kontrol sistemleri vs), işletme iletişim (data, telefon) sistemleri, çıktı sistemleri  kurulum ve desteği vb. gibi teknik konularında aktif rol almak."
"İş Süreçleri Analiz Uzmanı","İstanbul(Asya)(Beykoz)","GENEL NİTELİKLER VE İŞ TANIMI  Temeli 1950’li yıllarda atılan, jeneratör üretimi, doğalgaz dağıtım faaliyetleri ve enerji santralleri kurulum / işletimi ile enerji sektörünün lider firmalarından biri olan KazancıHolding'e bağlı Aksa Doğalgaz işkolunda ""İş Süreçleri Analiz Uzmanı"" arayışımız bulunmaktadır.  Üniversitelerin Bilgisayar Mühendisliği, Yönetim Bilişim Sistemleri, Matematik              Mühendisliği ve benzeri bölümlerinden mezun,   Benzer pozisyonda 1- 3 yıl deneyimi olan,  Sektör standardı olan BPM tollarında deneyimli, uygulama ve süreç geliştirmiş,   Dijital iş akış tasarım programlarında yetkin, Tercihen paperwork SDK kullanımında tecrübeli, süreç ve algoritma geliştirmesi yapabilecek, MS Office programlarına hâkim, etkin raporlama yapabilen ve analiz yeteneği olan,    İş takibi konusunda titiz, araştırmacı,      İletişim becerileri gelişmiş, gelişime ve değişime açık,       Sonuç odaklı ve sorumluluk sahibi, planlı ve disiplinli çalışan.      İŞ TANIMI  Paperwork süreçlerinde yer alan sistemlerin diğer sistemlerle entegrasayonlarının kurgulanması, Operasyonel parametrelerin kontrol edilmesi ve yeni uygulamaların test edilmesi,      Raporlama süreçlerine etkin destek sağlamak, SQL Veri tabanı kullanmış, tercihen MSSQL bilgisine sahip,    Tercihen orta seviyede C# dilini bilen, Ekran tasarım toolu kullanmış, Devreye alınacak projelerin analizi tasarımı ve IT ile koordineli çalışarak geliştirilmesine destek verebilecek, çıkan bulguların takibi, UAT testlerinin planlanması Devreye alınan projelerin operasyonel desteğinin sağlanması."
"Kıdemli Yazılım Geliştirme Uzmanı","Ankara","GENEL NİTELİKLER VE İŞ TANIMI  Sektör liderleri arasında yer alan şirketimizin gelişen ve büyüyen kadrosunda görevlendirilmek üzere;  ·     Üniversitelerin Bilgisayar Mühendisliği, Yazılım Mühendisliği veya ilgili diğer bölümlerinden mezun,  ·     Java teknolojilerileri ile uygulama geliştirme tecrübesi olan,  ·     OOP, Solid Principles konularına hakim,  ·     Tercihen web service teknolojilerinde deneyimli (SOAP, REST)  ·     JPA, EJB vb. teknolojileri konusunda bilgi sahibi,  ·     Git / SVN gibi kod versiyonlama araçlarını etkin bir şekilde kullanabilen,   ·     İlişkisel veritabanları konusunda bilgili,  ·     Takım çalışmasına yatkın, etkili iletişim kurabilen,  ·     Kurumsal düzeyde uygulama geliştirmiş,  ·     Proaktif, çözüm odaklı çalışan ve sorumluluk üstlenebilen,     *Tercih nedeni olabilecek diğer nitelikler; -Hastane Bilgi Yönetim Sistemleri konusunda tecrübe sahibi,      İŞ TANIMI  ·         Yenilikçi yazılım projeleri geliştiren ve Ar-Ge Merkezi olan firmamızın, HBYS ve diğer yazılımlarının geliştirmesinde ve yönetiminde görev almak,  ·         Yazılım geliştirme projelerinin; analiz, tasarım, kodlama, doğrulama ve geçerleme faaliyetlerinde görev almak,   "
"ERP Geliştirme Uzmanı","İzmir","GENEL NİTELİKLER VE İŞ TANIMI İTOB Organize Sanayi Bölgesinde yer alan Mekatronik firmamızın Bilgi Teknolojileri Departmanında görev alacak ve aşağıdaki niteliklere uygun takım arkadaşı aramaktayız:       Yetkinlikler ve Nitelikler         Üniversitelerin ilgili bölümlerinden, Bilgisayar Mühendisliği, Yazılım Mühendisliği vb. mezun,         Tercihen ERP kullanımtecrübesine sahip,         Tercihen ERP yazılımı geliştirmiş,         Veritabanı yapılarına, SQL sorgulama diline ve nesneye yönelik programlama prensiplerine hakim,         İyi düzeyde İngilizce ( Okuma, Yazma, Konuşma) bilgisine sahip,         İyi seviyede Excel bilgisi olan,         Analitik düşünme yeteneği gelişmiş,         Planlama ve organizasyon becerisi yüksek,         Ekip çalışmasına yatkın,         İletişim becerileri gelişmiş,         Raporlama becerisi gelişmiş olan.     İş Tanımı  Şirketlerimiz bünyesinde Canias ERP yazılımının geliştirmesinde görev yaparak, çeşitli modüllerde yapılacak analiz, tasarım, geliştirme, iyileştirme, dokümantasyon, test ve bakım çalışmalarında aktif görev yapmak, Sorumluluk alanındaki yenilikleri ve teknolojik gelişmeleri takip etmek, Performans iyileştirici geliştirmelerde bulunmak, Mevcut ve yeni kullanıcılara ilgili eğitimlerinin verilmesi, Talep edilen raporlama ekranlarının oluşturulması, Kullanıcı yönetimi, yetkilendirmeler, ve kısıtlamalar sağlanması."
"Otonom Araç Sist. Mühendisi (Yazılım)","Manisa","GENEL NİTELİKLER VE İŞ TANIMI  Alp Mühendislik Şirket Bilgileri:  Alp Grup Şirketlerinden biri olan Alp Mühendislik,  profesyonel sanayi firmalarına mühendislik, tasarım ve iş gücü desteği sunan ve kendi üretim alanlarında sektör lideri olan firmaların beklediği profesyonel bakış açısı ve hizmet kalitesi ile destek veren bir mühendislik firmasıdır. Yurtiçi ve Yurtdışı çalıştığı Multinational firmalara anahtar teslim projeler sunmaktadır.     Vizyonumuz:  Tecrübe ve bilgi birikimimizi etkin olarak kullanarak, uluslararası kalite standartlarına bağlı alanımızda sürekli gelişen, sektörümüzde aranan, güvenilir ve saygın bir Mühendislik kuruluşu olmak.  Misyonumuz  •Endüstriyel tesislerde verimliliği artıracak, katma değer yaratıcı çözümleri üretecek yüksek kalitede mühendislik çözümleri sunarak verimli işletmeler yaratmak.  . Çözüm ortaklarımız ile, katma değer yaratacak en uygun teknolojiyi faaliyet alanlarımıza taşımak.  • Müşterilerimizle ve tedarikçilerimizle köklü ilişkiler yaratmak ve çözümler üretmek.  • Müşterilerimiz tarafından vazgeçilmez bir kuruluş olmak.     Faaliyet Alanları: Endüstriyel İmalat- Otomasyon- Robotik Hatlar- Otonom Mobil Robot  GENEL NİTELİKLER  Her geçen gün büyüyen organizasyonumuza, Ar-Ge Departmanında otonom mobil robot (AMR-AGV) ve drone projelerinde görevlendirilmek üzere; Üniversitelerin Bilgisayar Mühendisliği, Elektrik-Elektronik Mühendisliği veya Yazılım Mühendisliği bölümlerinden mezun, Python, R, C, C++, MATLAB dillerinden en az birini bilen, 802.15.4 n/g/b protokollerini hakkında fikri olan Makine Öğrenmesi ve Derin Öğrenme konularında çalışmak isteyen, Bilgisayarlı Görü ve Görüntü İşleme kütüphanelerini kullanmış (Open CV vb.), CNN algoritması deneyimlemiş Rota planlama, SLAM, ROS hareket planlama ve sıralama konularında deneyimli,  Pytorch, Tensorflow gibi mimarilere ilgisi olup bu konularda kendisini geliştirmeye istekli, Dinamik bir çalışma ortamının gerektirdiği esnekliğe sahip,  En az 1-5 yıl tecrübe sahibi, Ekip çalışmasına yatkın, Profesyonel çalışma ilişkilerini benimsemiş, yeniliklere ve gelişmeye açık, Erkek adaylar için Askerlik hizmetini tamamlamış. Manisa veya İzmir'de ikamet eden,  İş Tanımı  Ar-Ge Merkezi faaliyetleri kapsamında yer alan otonom mobil robot- drone projelerinde değerlendirmek üzere,  ·        Rota planlama ve grup hareket uygulamaları,  ·        Görüntü işleme ve bilgisayarlı görü uygulamaları,  ·        Üst seviye akıllı kontrol algoritmaları,  ·        Kural tabanlı sistemler,  ·        Karar destek sistemleri,  ·        Büyük veri işleme,  ·        Yapay zeka ve uygulama alanları,   konuları ile ilgilenmek üzere Ar-Ge ekibimize takım arkadaşı aramaktayız.  NOT: Yeni mezun arkadaşların üniversitede otonom araç-drone- elektrikli araç gibi projelerin yazılım ayaklarında çalışmış olmaları durumunda değerlendirilecek olup önyazı kısmında ilgili proje konusunda bilgi vermesi beklenmektedir."
"Teklif Yöneticisi","İstanbul(Avr.), İstanbul(Asya)","GENEL NİTELİKLER VE İŞ TANIMI  Tercihen Bilgi Teknolojileri, Telekomünikasyon veya Güvenlik Teknolojileri sektöründeki kurumsal şirketlerin Satış Bölümleri’nde minimum 5 yıl tecrübeli, Proje ve Proje Çözüm konularında bilgi sahibi, Tercihen Üniversitelerin Elektrik/Elektronik Mühendisliği, Bilgisayar Mühendisliği, Elektrik Mühendisliği ve ilgili bölümlerinden mezun, İyi düzeyde İngilizce bilen, MS Office Programlarına hakim,  Autocad konusunda bilgili ve proje okumayı bilen, Daha önce bir ERP sistemiyle çalışmış, tercihen MS Axapta kullanabilen, Takım oyuncusu, Kaynakları etkin ve verimli kullanabilen, İletişim ve ilişki yönetimi konularında gelişmiş, Sorumluluk sahibi, Planlama ve organizasyon yetkinliğine sahip, Sonuç, çözüm ve müşteri odaklı, Yeni teknolojileri öğrenmeye ve kendini geliştirmeye açık, Askerlik hizmetini tamamlamış (erkek adaylar için).     İŞ TANIMI  Grup şirketlerimizin iş planları doğrultusunda belirlenen satış hedeflerine ulaşmak üzere satış ekibi ile kol kola çalışmak, Müşteri memnuniyeti ilkesine göre hareket ederek teklif sunulacak müşterilerin beklentilerini/ihtiyaçlarını algılamak, Müşteri Yöneticisinin bilgisi ve yönlendirmesi dahilinde, müşteriyle etkileşime geçmek, Müşteri Yöneticisi ile koordineli olarak müşteri ihtiyaçlarını karşılayacak en doğru çözümün, pazara göre en uygun fiyat ve koşullarda geliştirilmesini koordine etmek, Teklifi oluşturmak, bilgi sistemlerine girmek, müşteriye sunulma ve revize edilme süreçlerini en etkili biçimde gerçekleştirmek, siparişe dönüşen projelerin proje uygulama/servis ekiplerine devir sürecini koordine etmek. Bu süreçte gerek kendi bilgi birikimini, gerekse ihtiyaç halinde şirket içi ve dışı kaynakları kullanmak, İç ve dış iletişimi doğru yönlendirmek kaydıyla uçtan-uca koordinasyonu yapmak ve sürecin her aşamasını takip etmek."
