"Meslek","Şehir","Nitelikler"
"Yazılım Geliştirme Elemanı","Konya","TANIMI  GENEL NİTELİKLER     Üniversitelerin Bilgisayar Mühendisliği, Yazılım Mühendisliği veya ilgili bölümlerinden mezun,  Tercihen Yazılım geliştirme konusunda en az 2 yıl deneyimli,  İşine ve yazdığı koda önem veren,  Yoğun iş temposuna uyum sağlayabilecek,  Güçlü iletişim becerilerine sahip, analitik düşünebilen, takım çalışmasına yatkın,  Araştırmalarını mümkün olduğunca ingilizcce kaynaklardan yapan,  Yeni teknolojiler öğrenmeye ve sürekli gelişime açık,  Erkek adaylar için askerlik görevini tamamlamış veya en az 2 yıl tecilli      İŞ TANIMI     Nesne yönelimli programlama (OOP) konusuna hakim,  C#, ASP.NET MVC, Entity Framework, LINQ konularına hakim,  Javascript, Jquery, HTML5/CSS3 konularında bilgi sahibi,  MsSQL veri tabanıyla çalışmış,  T-SQL veri tabanı sorgulama tecrübesine sahip,  Web servisler Xml, Soap, Restful hakkında bilgi sahibi,  Git versiyon kontrol sistemini aktif olarak kullanan, "
"İş Analisti Uzmanı","İstanbul(Asya)(Ataşehir)","TANIMI  - Tercihen Bilgisayar Mühendisliği ya da Endüstri, Elektrik - Elektronik Mühendisliği bölümlerinden mezun  - İleri seviyede İngilizce bilgisi olan   - Takım çalışmasına uyumlu ve insan ilişkilerinde başarılı  - İşe dair farklı kaynakları araştırmaya hevesli  - Sözlü ve yazılı iletişim becerileri güçlü  - Analitik düşünebilen, sonuç odaklı olma  - Sorgulayan ve uygulayan, proaktif  - Belgeleme standartlarını bilmek ve mümkünse uygulama yapmış olmak  - Tercihen Mockup araçlarını kullanmış olmak (Örnek: Balsamiq)  - Disiplinli ve yaptığı işin birinci dereceden sorumluluğunu alma  İŞİN TANIMI         -  Kamu ve özel sektör için geliştirilen geniş ölçekli bir projenin müşteri, kullanıcı ve danışman bileşenleri ile gereksinim analizi yapmak        -    İş katmanının tasarımını geliştirerek geliştiricilere uluslararası standartlara uygun olarak belgelendirme işlemlerini yapmak"
"Yazılım Uzmanı","İstanbul(Asya)(Ümraniye)","Yazılım Mühendisliği, Matematik Mühendisliği, Bilgisayar Programcılığı vb. bölümlerinden mezun, Yeni teknolojiler öğrenmeye ve sürekli gelişime önem veren, Kod yapısının kaliteli ve sürdürülebilir olmasını önemseyen, Kullanılabilirlik ve ara yüz standartlarını önemseyen, Takım çalışmasını seven, iç motivasyonu yüksek,  Sorumluluk alabilen ve inisiyatif kullanabilen,  Problem çözme kabiliyetine ve analitik düşünce yapısına sahip takım arkadaşları arıyoruz."
"Yazılım Uzmanı","İstanbul(Asya)(Kadıköy)","TANIMI  GENEL NİTELİKLER     Üniversitelerin, Bilgisayar Mühendisliği, Yazılım Mühendisliği, Matematik Mühendisliği, Bilgisayar Programcılığı veya ilgili bölümlerden mezun,  En az 3 yıllık deneyimi olan,  Katmanlı yazılım mimarisi üzerinde bakım, geliştirme ve tasarım yapabilecek seviyede teorik ve pratik OOP bilgisine sahip,  .NET teknolojileriyle (C#, MVC, .NET Core) aktif yazılım geliştirmesi tecrübesi olan,  RDBMS üzerinde yazılım geliştirme deneyimi olan (Microsoft SQL Server öncelikli , Oracle,Postgresql..)  T-SQL diline hakim, Stored Procedure, View ve Function sorgulamalarında tecrübe sahibi,  Web Services (SOAP, Rest-API, Websocket) alanlarında , Multithreading ve Async Programlama tecrübe sahibi,  Tercihen Temel DBA bilgisi olan,  Yazılım geliştirme araçlarını etkin bir şekilde kullanabilen (Git, Visual Studio v.b.),  Güçlü İletişim yeteneğine, yeni teknolojilere ve gelişmeye açık,  Erkek adaylar için askerliğini yapmış.  Teknik literatürü takip edecek seviyede İngilizce bilen.  İstanbul Anadolu yakasında ikamet eden.     İŞ TANIMI     Kurumsal uygulamalar geliştiren firmamıza İstanbulpark Arge ofisimizde çalışmak üzere,  Geliştirmekte Olduğumuz uygulamaların backend geliştirme ekibinde çalışacak,  Uygulamalarımızın yeni modül ihtiyaçlarının database tasarımını ve geliştirmeleri yapacak."
"Proje Yöneticisi / Yönetmeni","Diyarbakır","TANIMI  İş Tanımı:  -Yazılım ve Çözüm projelerinde görev almış,  -Analiz, Süreç yönetimi ve ilgili yazılımlara meraklı,  -Üniversitelerin  tercihen  Bilgisayar/Endüstri Mühendisliği ve Bilişimleri Sistemleri bölümlerinden mezun,  -Takım çalışmasına uyumlu ve koordinasyon odaklı çalışmalarda deneyimli,  -Raporlama ve dokümantasyon çalışmalarını özenle yapabilecek,  -Yazılı ve sözlü iletişim becerisine sahip,  - İyi derecede İngilizce bilen,  -Erkek adaylar için askerliğini tamamlamış "
"Kıdemli Yazılım Uzmanı","İzmir","(Bilgisayar Mühendisliği, Yazılım Mühendisliği, Elektrik/Elektronik Mühendisliği) Kurumsal ürün geliştirme ve yazılım konusunda minimum 5 yıl deneyimli Full-stack yazılım becerisine sahip C# ve MS SQL Server Stored Procedure Microsoft teknolojilerine hâkim Hibrid mobil ve web uygulama geliştirme alanında deneyimli (HTML, CSS, Javascript) Kurumsal yazılımları konuşlandırma, işletme ve bakımını yapma becerisine sahip  Değişime ve yeniliğe açık olan Yüksek motivasyonla çalışan Kargo sektöründe bilgi birikimi olan (tercih sebebi)  Erkek ve Bayan Adaylar"
"Yazılım Sorumlusu","Ankara(Çankaya)","Bilimleri Mühendisliği, Yazılım Mühendisliği, Bilgisayar Teknolojileri ve Yönetimi, Yönetim ve Bilişim Sistemleri, Bilgisayar Teknolojisi ve Bilişim Sistemleri bölümlerinin birinden ya da bunlara denkliği Yüksek Öğrenim Kurumu tarafından onaylanmış yurt dışındaki yüksek öğrenim kurumu mezunu olması Tercihen Çağrı Merkezi veya yazılım projelerinde profesyonel iş deneyimine sahip olması PMP (Project Management Professional) sertifikasına sahip olması Yazılım dillerine hakim olması"
"Elektronik Mühendisi","Antalya(Kepez)","Bilgisayar Mühendisliği ve ya Yazılım mühendisliği  Bölümünden mezun,  Donanım /Hardware  tasarımı  konusunda bilgili , kendini sürekli geliştirebilecek,  İyi derecede C/C++, ARM (KEIL) gibi programları kullanabilen, Bilgisayar donanımı ve Network , Gömülü yazılım konusunda bilgili, Tasarlanan devrelerin simülasyonu tek katlı ve çok katlı baskı devre tasarımında yeterli bilgiye sahip olmak. Yoğun ve esnek çalışma saatlerine uygun çalışabilecek,  Analitik yönü kuvvetli, araştırmacı, çözüm ve sonuç odaklı,   Ekip çalışmasına yatkın ve dinamik, Özgüven ve sorumluluk ,sahibi  Erkek adaylar için askerlik hizmetini tamamlamış,"
"İş Analisti","İstanbul(Avr.)(Sarıyer)","TANIMI  1997 yılında kurulan Bilge Adam Bilişim Grubu; Yazılım, Altyapı, Dijital, İnsan Kaynakları, Akademi ve Genç Akademi olmak üzere 6 uzmanlık bölümüyle hizmet veren bir Türk şirketidir. 1000'ün üzerinde tam zamanlı çalışanıyla Bilişimde İnsan'ın gelişimine ve katma değerine odaklanan Bilge Adam; entegre bilişim hizmetlerinde Türkiye'nin en büyük kuruluşudur. Bilge Adam Bilişim Grubu'nun merkez ofisi, Ar-Ge çalışmalarının da gerçekleştirildiği İTÜ ARI Teknokent'te bulunmaktadır.          Bilge Adam'ın kurumsal hizmetleri; büyük şirketler, KOBİ'ler ve kamu kurumları gibi farklı yapılara sunulur. ""Türkiye'nin En Büyük 500 Şirketi"" listesindeki kurumların büyük çoğunluğu, bilişimin pek çok alanında Bilge Adam ile çalışmaktadır.             ·  Üniversitelerin tercihen Bilgisayar Mühendisliği, Endüstri Mühendisliği, Matematik  Mühendisliği veya Yönetim Bilişim Sistemleri (MIS) bölümlerinden mezun,        ·  MSSQL, T-SQL, Visio, Balsamiq, TFS – Azure DevOps konularında bilgi sahibi,          ·  İş analizi ve Test süreçlerinde en az 2 yıl deneyimli,         ·  Jira, Confluence vb. proje yönetim araçlarını kullanmış,         ·  Mock-up geliştirme konusunda deneyimli,         ·  SDLC süreçlerine hakim,        ·  Agile ve Scrum metodolojileri konusunda deneyimli,        ·  MS Office programlarını etkin kullanabilen,        ·  Takım çalışmasına yatkın,        ·  Analitik düşünme ve problem çözme becerileri gelişmiş,         ·  İletişim yeteneği kuvvetli,                 İŞ TANIMI       Bilge Adam Bilişim Grubu olarak; Maslak Genel Müdürlüğümüzde görevlendirilmek üzere, firmamızın kurumsal yazılım projelerinde görev alacak ' İş Analisti ' arayışımız bulunmaktadır.            "
"Yazılım Geliştirme ve Destek Mühendisi","Ankara(Çankaya)","bölümünden mezun Java kullanarak yazılım geliştirme konusunda en az 3 yıl tecrübeli Veritabanları ile çalışmış olan Linux işletim sistemi tecrübesi olan Ağ teknolojileri konusunda bilgi sahibi olan  Yazılım geliştirme metodolojileri hakkında bilgi sahibi olan Kendini geliştirmeye önem veren, yeni teknolojileri yakından takip etmeyi seven Teknik literatürü takip edebilecek yeterlilikte İngilizce bilen  Yapmış olduğu çalışmaları açıklayıcı bir ön yazı ile başvuran adaylara öncelik verilecektir."
